IYS_Specimen_ID,IAgroup
IYS2022-TINRO-3-22-Trawl-154-279,Cook_Inlet
IYS2022-TINRO-3-22-Trawl-153-275,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-22-Trawl-154-280,BC_WA
IYS2022-TINRO-3-22-Trawl-154-281,PWS_CopperR_SEAK
IYS2022-TINRO-3-22-Trawl-154-282,BC_WA
IYS2022-TINRO-3-22-Trawl-154-283,BC_WA
IYS2022-TINRO-3-22-Trawl-154-285,BC_WA
IYS2022-TINRO-3-22-Trawl-154-286,BC_WA
IYS2022-TINRO-3-22-Trawl-154-287,PWS_CopperR_SEAK
IYS2022-TINRO-3-22-Trawl-154-288,BC_WA
IYS2022-TINRO-3-22-Trawl-154-289,PWS_CopperR_SEAK
IYS2022-TINRO-3-23-Trawl-159-290,Cook_Inlet
IYS2022-TINRO-3-23-Trawl-159-291,Western_AK_BBay
IYS2022-TINRO-3-23-Trawl-159-292,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-23-Trawl-159-293,Western_AK_BBay
IYS2022-TINRO-3-23-Trawl-159-294,Western_AK_BBay
IYS2022-TINRO-3-23-Trawl-159-295,BC_WA
IYS2022-TINRO-3-23-Trawl-159-302,BC_WA
IYS2022-TINRO-3-23-Trawl-160-301,BC_WA
IYS2022-TINRO-3-23-Trawl-159-303,Cook_Inlet
IYS2022-TINRO-3-23-Trawl-159-296,BC_WA
IYS2022-TINRO-3-23-Trawl-159-297,BC_WA
IYS2022-TINRO-3-23-Trawl-159-298,Western_AK_BBay
IYS2022-TINRO-3-23-Trawl-159-299,Western_AK_BBay
IYS2022-TINRO-3-23-Trawl-159-300,Western_AK_BBay
IYS2022-TINRO-3-24-Trawl-165-308,PWS_CopperR_SEAK
IYS2022-TINRO-3-24-Trawl-166-309,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-25-Trawl-177-317,Cook_Inlet
IYS2022-TINRO-3-25-Trawl-177-318,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-25-Trawl-177-320,Cook_Inlet
IYS2022-TINRO-3-25-Trawl-177-321,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-25-Trawl-177-322,Cook_Inlet
IYS2022-TINRO-3-25-Trawl-177-323,BC_WA
IYS2022-TINRO-3-25-Trawl-177-324,PWS_CopperR_SEAK
IYS2022-TINRO-3-25-Trawl-177-326,Cook_Inlet
IYS2022-TINRO-3-26-Trawl-183-377,Cook_Inlet
IYS2022-TINRO-3-26-Trawl-183-379,PWS_CopperR_SEAK
IYS2022-TINRO-3-26-Trawl-183-380,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-26-Trawl-183-381,Cook_Inlet
IYS2022-TINRO-3-26-Trawl-183-382,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-383,Cook_Inlet
IYS2022-TINRO-3-26-Trawl-183-425,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-26-Trawl-183-384,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-426,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-26-Trawl-183-385,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-26-Trawl-183-386,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-387,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-388,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-26-Trawl-183-389,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-390,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-391,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-392,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-26-Trawl-183-393,PWS_CopperR_SEAK
IYS2022-TINRO-3-26-Trawl-183-394,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-395,PWS_CopperR_SEAK
IYS2022-TINRO-3-26-Trawl-183-397,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-398,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-26-Trawl-183-400,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-401,BC_WA
IYS2022-TINRO-3-26-Trawl-183-403,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-404,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-405,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-407,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-26-Trawl-183-408,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-409,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-26-Trawl-183-410,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-26-Trawl-183-411,Cook_Inlet
IYS2022-TINRO-3-26-Trawl-183-413,BC_WA
IYS2022-TINRO-3-26-Trawl-183-415,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-417,BC_WA
IYS2022-TINRO-3-26-Trawl-183-427,PWS_CopperR_SEAK
IYS2022-TINRO-3-26-Trawl-183-418,BC_WA
IYS2022-TINRO-3-26-Trawl-183-419,Cook_Inlet
IYS2022-TINRO-3-26-Trawl-183-420,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-422,Western_AK_BBay
IYS2022-TINRO-3-27-Trawl-191-439,PWS_CopperR_SEAK
IYS2022-TINRO-3-27-Trawl-192-440,Western_AK_BBay
IYS2022-TINRO-3-28-Trawl-201-443,Cook_Inlet
IYS2022-TINRO-3-28-Trawl-202-444,Western_AK_BBay
IYS2022-TINRO-3-28-Trawl-202-445,PWS_CopperR_SEAK
IYS2022-TINRO-3-28-Trawl-201-449,Western_AK_BBay
IYS2022-TINRO-3-28-Trawl-202-446,Cook_Inlet
IYS2022-TINRO-3-28-Trawl-202-447,Western_AK_BBay
IYS2022-TINRO-3-28-Trawl-202-448,BC_WA
IYS2022-TINRO-3-29-Trawl-211-454,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-29-Trawl-211-455,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-29-Trawl-212-470,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-471,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-211-456,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-211-458,PWS_CopperR_SEAK
IYS2022-TINRO-3-29-Trawl-212-472,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-473,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-474,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-475,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-476,BC_WA
IYS2022-TINRO-3-29-Trawl-212-478,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-479,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-480,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-481,Western_AK_BBay
