IYS_Specimen_ID,GCLcard_position,IAgroup
IYS2022-TINRO-3-28-Trawl-201-449,0000057870_7,Western_AK_BBay
IYS2022-TINRO-3-28-Trawl-202-446,0000057870_8,Cook_Inlet
IYS2022-TINRO-3-28-Trawl-202-447,0000057870_9,Western_AK_BBay
IYS2022-TINRO-3-28-Trawl-202-448,0000057870_10,BC_WA
IYS2022-TINRO-3-29-Trawl-211-454,0000057866_1,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-29-Trawl-211-455,0000057866_2,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-29-Trawl-212-470,0000057866_3,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-471,0000057866_4,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-211-456,0000057866_5,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-211-458,0000057866_7,PWS_CopperR_SEAK
IYS2022-TINRO-3-29-Trawl-212-472,0000057866_8,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-473,0000057866_9,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-474,0000057866_10,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-475,0000057859_1,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-476,0000057859_2,BC_WA
IYS2022-TINRO-3-29-Trawl-212-478,0000057859_4,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-479,0000057859_5,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-480,0000057859_6,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-481,0000057859_7,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-482,0000057859_8,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-483,0000057859_9,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-212-484,0000057859_10,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-29-Trawl-212-468,0000057855_1,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-211-459,0000057855_2,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-211-460,0000057855_3,PWS_CopperR_SEAK
IYS2022-TINRO-3-29-Trawl-212-469,0000057855_4,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-211-461,0000057855_5,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-211-462,0000057855_6,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-211-463,0000057855_7,PWS_CopperR_SEAK
IYS2022-TINRO-3-29-Trawl-211-464,0000057855_8,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-211-465,0000057855_9,BC_WA
IYS2022-TINRO-3-29-Trawl-211-466,0000057855_10,Western_AK_BBay
IYS2022-TINRO-3-29-Trawl-211-467,0000057851_1,Western_AK_BBay
IYS2022-TINRO-3-30-Trawl-216-486,0000057851_2,Western_AK_BBay
IYS2022-TINRO-3-30-Trawl-216-488,0000057851_3,Western_AK_BBay
IYS2022-TINRO-3-30-Trawl-216-489,0000057851_4,Western_AK_BBay
IYS2022-TINRO-3-30-Trawl-217-490,0000057851_5,Cook_Inlet
IYS2022-TINRO-3-30-Trawl-217-491,0000057851_6,Western_AK_BBay
IYS2022-TINRO-3-30-Trawl-217-492,0000057851_7,Western_AK_BBay
IYS2022-TINRO-3-31-Trawl-221-494,0000057851_8,BC_WA
IYS2022-TINRO-3-31-Trawl-221-495,0000057851_9,Cook_Inlet
IYS2022-TINRO-3-31-Trawl-221-496,0000057851_10,Western_AK_BBay
IYS2022-TINRO-3-32-Trawl-226-502,0000057857_1,Western_AK_BBay
IYS2022-TINRO-3-32-Trawl-226-503,0000057857_2,AK_Pen_Kodiak_Afognak
IYS2022-NW-2-2-CanTrawl-3-9,0000063287_1,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-11,0000063287_3,Western_AK_BBay
IYS2022-NW-2-2-CanTrawl-3-12,0000063287_4,Western_AK_BBay
